"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","분위기","장르 대분류","장르 대분류 영어","카테고리 / 키워드 명칭 (영문)","매칭 상세 설명 및 활용 팁","제목1","프롬프트1(속도 느림)","제목2","프롬프트2(속도 보통)","제목3","프롬프트3(속도 빠름)"
"","11","Groovy","라틴 / 댄스 그루브","2_Latin_and_Dance_Grooves","Disco","70~80년대 복고풍 감성의 경쾌한 4스텝 비트와 볼드한 베이스 라인이 특징인 댄스곡","Chamber Disco","slow 70s lounge disco, smooth swelling string section, lazy four-on-the-floor kick, warm muted bassline, retro vintage glamour, 95 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Funk Fusion Glitter","classic 80s disco funk, thumping four-on-the-floor drum beat, driving funky slap bass, sparkly rhythmic electric guitar chugs, 120 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Studio 54 Riot","high-octane euro disco, rapid synthesizer arpeggio, relentless driving disco beat, explosive brass stabs, maximum strobe-lit energy, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","12","Groovy","라틴 / 댄스 그루브","2_Latin_and_Dance_Grooves","Dance","파티, 클럽, 페스티벌의 에너지를 고조시키는 신나는 일렉트로닉 비트","Vapor Lounge","chill electronic dance, smooth deep sub bass, steady soft electronic kick drum, ethereal dreamlike synth pads, fashion runway mood, 95 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Neon Dancefloor","mainstream commercial dance pop, punchy modern house drum beat, driving synth bass, catchy vocal chop textures, high-energy club vibe, 122 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Festival Explosion","high-tempo peak-time dance anthem, aggressive driving synth leads, powerful pounding drums, massive build-up and energetic drop, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","13","Minimal","전자 음악 (Electronic)","03_Electronic_Music","Electronic","전자 악기와 합성음을 기반으로 한 현대적이고 트렌디한 사운드 트랙의 총칭","Digital Dawn","minimalistic ambient electronic, evolving analog synth textures, slow glitchy drum clicks, spacious warm sub-bass, futuristic sci-fi vibe, 70 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Cyber Grid","mid-tempo electronic soundtrack, driving pulse bassline, crisp digital percussion, retro-futuristic synth melodies, sleek technology mood, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Virtual Velocity","fast electronic glitch core, hyperactive arpeggiator patterns, stuttering futuristic drum beats, high-speed data flow aesthetic, 160 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","14","Dramatic","전자 음악 (Electronic)","03_Electronic_Music","Synth Pop","신디사이저 사운드를 전면으로 내세운 경쾌하고 감각적인 80년대 감성 팝","Neon Nostalgia","slow emotional 80s synth pop, nostalgic warm synth brass melodies, steady Linndrum beat, dreamlike floating vocal pad textures, 85 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Retro Electric","classic 80s synth pop anthem, driving bright synthesizer bassline, punchy drum machine, catchy glowing electronic leads, optimistic vibe, 120 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Tokyo Cyber Lights","high-tempo modern j-synth pop, sparkling rapid electronic sequence, driving energetic bass, hyperactive upbeat retro drum grid, 145 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","15","Nostalgic","전자 음악 (Electronic)","03_Electronic_Music","Synthwave","레트로 게임이나 80년대 SF 영화 분위기를 풍기는 아날로그 감성 신스 음악","Outrun Sunset","dreamy slow synthwave, retro analog synth pads, lush reverbed snare hits, cinematic outrun horizon atmosphere, nostalgic sci-fi mood, 80 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Midnight Drive","classic driving synthwave, pumping bassline, gritty electronic synth leads, 80s drum machine pulse, retro-futuristic sports car driving vibe, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Laser Pursuit","fast cyberpunk synthwave, aggressive dark chugging synth bass, rapid arpeggios, frantic laser-like electronic sound design, high tension, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","16","Refreshing","전자 음악 (Electronic)","03_Electronic_Music","Electro","강렬하고 기계적인 전자 비트가 강조된 일렉트로닉 음악 장르","Robotic Pulse","slow robotic electro hip-hop, heavy low 808 booming kick, crisp electronic snare, metallic vocoder-like glitch textures, dark sci-fi, 85 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Circuit Board","classic electro funk, crisp syncopated breakbeats, driving mechanical synth bassline, vintage vocoder sound design, robotic b-boy groove, 125 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Cyber Attack","high-tempo aggressive electro house, grinding distorted bass lines, frantic industrial synth screech, pounding drum machine grid, high tension, 145 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","17","Dramatic","전자 음악 (Electronic)","03_Electronic_Music","Future Bass","화려하게 일렁이는 신스 패드와 감각적인 힙합 비트가 결합된 트렌디 장르","Dreamy Flume","slow chill future bass, massive lush supersaw synths with pitch bends, deep sub-bass, organic percussion snips, emotional future pop vibe, 80 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Neon Kawaii","bouncy future bass style, sweet melodic plucks, rolling 808 hi-hats, pitching futuristic synth chords, sparkling video game textures, 125 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Hyper Spark","high-tempo dynamic future bass, explosive rhythmic supersaw chords, rapid snare rolls, glitchy vocal chops, hyperactive colorful energy, 150 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","18","Minimal","전자 음악 (Electronic)","03_Electronic_Music","Techno & Trance","반복적이고 기계적인 비트 또는 몽환적인 상승감을 주는 전자 음악 스타일","Hypnotic Underground","deep minimal techno, repetitive heavy sub kick drum, subtle clicking percussion, evolving dark atmospheric synth texture, hypnotic tunnel vibe, 120 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Euphoric Horizon","classic upbeat uplifting trance, driving rhythmic kick, pumping bassline, soaring warm melodic synth leads, euphoric emotional climax, 138 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Acid Speedcore","high-tempo industrial acid techno, screaming resonant 303 basslines, furious pounding hard kick drum, chaotic rave energy, relentless pace, 155 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","19","Groovy","전자 음악 (Electronic)","03_Electronic_Music","House","일정한 4X4 킥 드럼 비트를 기반으로 한 경쾌한 하우스 댄스 스타일","Sunset Lounge","chill classic house, warm soulful rhodes piano chords, steady smooth 4x4 kick drum, rhythmic shaker layer, elegant Ibiza beach sunset vibe, 115 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Chicago Groove","authentic jackin chicago house, crisp 909 drum machine open-hats, bouncy looping bassline, groovy staccato piano stabs, club dancefloor vibe, 124 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Hyper Disco House","fast french disco house, pumping sidechained bassline, loop-filtered funky guitar riff, explosive energetic brass synths, non-stop dance energy, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","20","Groovy","전자 음악 (Electronic)","03_Electronic_Music","Soft House","부드럽고 이지리스닝이 가능한 라운지풍의 차분한 하우스 음악","Cloud Nine","ultra-chill soft house, warm ambient chords, soft muted 4x4 kick drum, smooth acoustic percussion blend, relaxing luxury hotel lobby lounge vibe, 105 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Velvet Lounge","mid-tempo deep soft house, silky smooth rhodes electric piano loops, warm gentle sub bass, crisp clean shuffling high-hats, chic lifestyle, 118 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Cafe del Mar","upbeat airy soft house, bright acoustic guitar strums over a gentle house beat, tropical plucks, fluid bassline, sophisticated pool party vibe, 125 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","21","Exciting","전자 음악 (Electronic)","03_Electronic_Music","Deep House","묵직한 베이스, 몽환적이고 정적인 패드 사운드가 어우러진 미니멀 하우스","Oceanic Abyssal","deep lo-fi deep house, misty floating synth pads, heavy underground sub bass, lazy muted 4x4 kick, smoky moody late-night nightclub mood, 110 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Urban Dusk","classic melodic deep house, soulful vocal pad cuts, thumping crisp kick drum, hypnotic plucky synth bassline, sleek metropolitan fashion vibe, 122 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Subterranean Groove","fast dark tech deep house, tight punchy bassline, rolling percussive high-hats, deep dark moody warehouse tech-house groove, energetic drive, 128 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","22","Refreshing","전자 음악 (Electronic)","03_Electronic_Music","Drum N Bass","160~180 BPM의 매우 빠른 브레이크비트 드럼과 육중한 로우 베이스가 특징","Liquid Ether","liquid drum and bass, ultra-fast crisp jazz breakbeat drums, lush floating ambient keys, deep smooth rolling reese bassline, soulful and airy, 165 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Urban Jungle","classic jungle drum and bass, rapid chopped amen break drums, heavy deep sub-bass drops, ragga-style electronic sound design, high urban energy, 172 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Neurofunk Attack","aggressive futuristic neurofunk drum and bass, technical rapid distorted bass modulation, pounding robotic drum precision, sci-fi action pace, 178 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","23","Dreamy","전자 음악 (Electronic)","03_Electronic_Music","Dubstep","묵직하고 왜곡된 워블 베이스(Wobble)와 변칙적이고 강력한 드롭 리듬이 특징","Deep Abyssal Wobble","uk underground deep dubstep, slow dark atmospheric soundscapes, heavy thumping spacious half-time drum beat, deep sub-surface wobble bass, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Cybernetic Drop","mainstream brostep style, heavy robotic growling bass, aggressive modulated synth shrieks, powerful half-time snare claps, explosive drop, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Riddim Riot","fast relentless riddim dubstep, repetitive aggressive metallic bass chops, heavy pounding syncopated drums, high-voltage gaming montage energy, 145 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","24","Dramatic","전자 음악 (Electronic)","03_Electronic_Music","Edm","클럽이나 페스티벌 파티 텐션을 극대화하는 강렬한 일렉트로닉 댄스 뮤직","Mainstage Warm-up","melodic progressive house, slow building emotional synth chords, steady house kick, epic festival arena anticipation atmosphere, 120 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Tomorrowland Anthem","mainstream big room edm, energetic synth lead festival melody, driving hard kick drum, massive bass build-up into an explosive arena drop, 128 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Bounce Riot","fast aggressive bounce edm, hyperactive playful rubbery synth bass, pounding kick drums, non-stop high-energy jumping dance festival vibe, 135 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","25","Dreamy","힙합 / 알앤비 / 재즈 / 블루스","04_HipHop_RnB_Jazz_Blues","Alternative Hip Hop","전통적인 힙합의 틀을 벗어나 다양한 장르적 실험을 시도하는 스타일","Cloudy Vision","psychedelic cloud rap, slow dreamy washed-out guitars, heavy sub-bass glides, rolling ambient hi-hats, surreal avant-garde hip-hop vibe, 72 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Indie Boom Bap","alternative jazz hip-hop, dusty acoustic upright bass loop, soulful vintage horn samples, crisp lo-fi boom-bap drums, artistic intelligent mood, 90 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Glitch Hop Revolution","experimental electronic hip-hop, glitchy stuttering drum programming, heavy digitized bass, industrial sound design, hyperactive innovative edge, 110 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","26","Comical","힙합 / 알앤비 / 재즈 / 블루스","04_HipHop_RnB_Jazz_Blues","Old School Hip Hop","80~90년대 붐벱 비트 중심의 클래식하고 묵직한 전통 힙합","Dusty Vinyl","lo-fi old school hip-hop, slow heavy head-nodding boom-bap drum beat, scratchy vinyl static noise, warm jazz piano loop, classic graffiti vibe, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Brooklyn Streets","90s east coast boom-bap hip-hop, gritty raw acoustic drum loop, punchy boom-bap snare, jazzy bassline, iconic street cipher atmosphere, 92 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Golden Era Funk","upbeat 80s old school rap style, driving funky breakbeat drums, rhythmic scratched vinyl fx, slap bass loop, retro block party energy, 108 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","27","Groovy","힙합 / 알앤비 / 재즈 / 블루스","04_HipHop_RnB_Jazz_Blues","Mainstream Hip Hop","대중적이고 세련된 대세 힙합 트랙 무드","Luxury Chill","smooth melodic mainstream hip-hop, gentle rhodes piano loops, deep 808 bass glides, crisp clean modern hi-hat rolls, luxurious modern mood, 80 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Billboard Banger","modern mainstream billboard hip-hop, punchy crisp trap drum kit, heavy hitting bass, dark melodic synth loop, professional corporate or urban vibe, 110 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","West Coast Bounce","upbeat modern west coast hip-hop, high-pitched whiny synth lead melody, bouncy snapping bassline, crisp acoustic clap groove, energetic drive, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","28","Suspenseful","힙합 / 알앤비 / 재즈 / 블루스","04_HipHop_RnB_Jazz_Blues","Rap","리드미컬한 플로우와 랩 보컬이 중심이 되는 힙합 비트 소스","Dark Cypher Intro","minimalist dark rap beat, slow eerie bell melody, deep heavy 808 sub bass, spacious crisp snapping snare, intense underground vocal focus, 75 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Street Poetry","classic mid-tempo rap instrumental, soulful looping vocal sample, punchy acoustic drum track, rolling warm bass, storytelling backdrop, 95 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Fast Flow Zone","fast aggressive uk drill type beat, rapid sliding sub-bass notes, frantic skipping hi-hat patterns, dark piano chords, high-intensity rap battle vibe, 142 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","29","Comical","힙합 / 알앤비 / 재즈 / 블루스","04_HipHop_RnB_Jazz_Blues","Trap","촘촘한 하이햇(Hi-hat) 비트와 묵직한 808 베이스가 강조되는 트렌디 힙합","Night Crawl","ambient cloud trap, slow floating dark synth pads, heavy booming 808 sub bass, rolling triplet hi-hats, dark relaxed hypnotic nocturnal vibe, 68 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Atlanta Underworld","classic atlanta trap style, eerie dark gothic bells, punching heavy 808 sub-bass kicks, rapid machine-gun hi-hat rolls, menacing street energy, 130 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Hyper Speed Drill","fast uk/ny drill fusion, frantic rapid skipping percussion, chaotic sliding sub-bass lines, aggressive cinematic strings, maximum action velocity, 145 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","30","Dreamy","힙합 / 알앤비 / 재즈 / 블루스","04_HipHop_RnB_Jazz_Blues","Phonk","멤피스 힙합, 90년대 카세트 감성, 카우벨과 왜곡된 베이스가 섞인 자동차 영상 단골 장르","Smoky Memphis","slow chill phonk, lo-fi distorted tape hiss hiss texture, lazy chopped 90s vocal samples, heavy muted bass, dark atmospheric drift car vibe, 85 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Drift Night","mainstream drift phonk, aggressive loud cowbell melody, heavily distorted overdriven 808 bass, punchy hip-hop drums, hyper adrenaline car scene, 125 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Sigma Sigma Chaos","extreme aggressive phonk, chaotic rapid cowbell riffs, raw blowing distorted basslines, furious racing drum loops, ultra high-voltage editing style, 140 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","31","Nostalgic","힙합 / 알앤비 / 재즈 / 블루스","04_HipHop_RnB_Jazz_Blues","Rnb","감미롭고 그루비한 보컬 중심의 리듬 앤 블루스 스타일","Silk Sheets","sensual 90s slow jam rnb, smooth electric piano rhodes chords, deep warm sub bass, slow crisp acoustic rim-shot beat, intimate romantic midnight vibe, 65 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Neon Soul","modern contemporary pbrnb, moody atmospheric synth pads, deep sliding 808 bass, crisp modern trap-style hi-hats, sleek melancholic urban aesthetic, 100 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Groove Cruise","upbeat contemporary r&b pop, fun bouncy slap bassline, bright electric guitar muted plucks, cheerful snapping drums, radio-ready urban pop, 118 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
"","32","Nostalgic","힙합 / 알앤비 / 재즈 / 블루스","04_HipHop_RnB_Jazz_Blues","Old School Rnb","따뜻하고 아날로그한 감성을 품은 클래식한 리듬 앤 블루스","Vintage Soul Serenade","slow vintage 70s old school r&b, warm real acoustic bass, rich horn section swells, organic live drums, nostalgic dusty vinyl record texture, 70 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Retro Groove","90s old school rnb swing, punchy new jack swing drum beat, funky bass synth loop, soulful rhodes chords, uplifting soulful vibe, 105 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro","Motown Express","upbeat fast 60s r&b style, driving rhythmic tambourine, bouncy walking bassline, soulful brass section riffs, bright joyful retro dance energy, 125 BPM, instrumental, progressive arrangement, extended mix, dynamic shifts, building layer by layer, definitive outro"
